KR,KRR,DR,DRR,AR,ARR,Ps,Psv,Qs,x,y,z,vx,vy,vz
0.1979487038628583,0.0033632082376393833,0.21964732249844163,0.001188250506494685,0.3924774940632825,0.0020343811897405146,6,0.1,-7,-6330283.8785729855,3307380.3235027683,128019.93954425825,-3438.1682121727217,-6632.915143230344,-235.47058033753885
0.3051336804597683,0.003529454890256199,0.2835946897227155,0.0012371739138942052,0.43383124625476954,0.0022558543018709764,6,0.1,-8,-6330059.963235759,3307862.659210136,128042.65573154614,-3438.583875315919,-6632.674894600176,-235.5377081242732
0.2793093886597662,0.0034814588390103367,0.335499059815573,0.001435570942889561,0.3778578394890418,0.001609710232948053,6,0.1,-9,-6330026.314495699,3308000.053712525,128053.17151046576,-3438.74760839726,-6632.560975887973,-235.54144765972896
0.2781284674296418,0.003479403970038937,0.3365179944820814,0.0014396029342369741,0.37670991879081034,0.0015909084345295688,6,0.1,-10,-6330025.883068538,3308002.2618106175,128053.38512656372,-3438.7503267537645,-6632.559001945937,-235.5414903934342
0.2781163487591746,0.0034793829163920504,0.33652826333715063,0.0014396435237674747,0.37669835215889863,0.0015907166850569288,6,0.1,-11,-6330025.878718832,3308002.2840249473,128053.38727551619,-3438.7503541178367,-6632.558982090798,-235.54149082028547
0.27811628032014163,0.0034793827954970984,0.3365283624865525,0.0014396439343476075,0.3766982551760539,0.0015907151324186279,6,0.1,-12,-6330025.878533001,3308002.284723935,128053.38730351813,-3438.750354766846,-6632.558981591948,-235.54149084906274
0.19754161832892528,0.0033381177879558744,0.21943568823496087,0.0011872660169793795,0.39191811735449633,0.0020297401897441713,7,0.1,-7,-6330284.247235426,3307380.791737754,128020.66377839014,-3438.168496307834,-6632.914414311006,-235.4701870517767
0.2955023964931731,0.0034888277649445464,0.28283729917959977,0.0012341771286931095,0.4291399510642918,0.0022097262397002505,7,0.1,-8,-6330077.506644907,3307841.9096214576,128049.67109549975,-3438.5666367185054,-6632.677236638491,-235.53089923352996
0.26743514522521705,0.0034376784484332927,0.3335158681381229,0.0014262254583690722,0.3752587664173885,0.0015640649455042769,7,0.1,-9,-6330059.451271532,3307939.5912531917,128061.44268328695,-3438.6978663635277,-6632.584973247036,-235.5315523703744
0.19746576168852337,0.0033465150136827364,0.2195214647135193,0.00118761955859876,0.39233369262516304,0.0020344548387690575,5,0.1,-7,-6330283.930851975,3307380.3374303062,128020.11625216069,-3438.168231270326,-6632.915082666387,-235.47046043033262
